volume;mass;center of mass X;center of mass Y;center of mass Z
6.026924;15670.001507;-6.112338;-6.528455;-6.463274
5.650342;14690.887928;-2.598051;9.218996;-4.911094
12.192249;31699.848175;-9.927402;-4.757215;-4.188015
3.139794;8163.464069;-8.503633;10.805818;-6.377739
0.873864;2272.045612;-9.204938;1.320140;-6.991324
3.857553;10029.637814;-3.683022;2.647108;-5.006209
0.556827;1447.749138;-8.296604;-5.048207;-7.360798
1.034796;2690.470219;-7.532441;9.680999;-5.195070
0.222087;577.425957;-3.245585;3.231997;-5.993546
2.505720;6514.871120;-2.416607;-5.424569;-2.633143
1.116872;2903.866768;-4.521174;-7.058774;-4.821236
1.248837;3246.974945;-2.558342;3.516078;-2.742278
0.791788;2058.649063;-8.785252;11.149247;-5.052401
4.206777;10937.619209;-2.383605;11.307743;-3.327515
0.988126;2569.127083;-7.879810;-4.745903;-4.805069
0.246227;640.189648;-3.801318;10.577513;-4.856005
3.128529;8134.174347;-9.929470;1.494924;-2.685005
0.569701;1481.223106;-5.905389;0.289659;-4.691473
0.270367;702.953339;-9.082031;10.346681;-3.454938
0.431299;1121.377945;-5.607072;0.745103;-4.255480
0.688791;1790.857315;-9.296693;9.636755;-1.939070
0.106215;276.160240;-8.345170;-5.145597;-4.289773
0.455439;1184.141636;-9.452848;1.874585;-1.932972
0.077248;200.843811;-3.569336;-7.370606;-3.959961
0.045061;117.158890;-7.972935;-5.432477;-3.703962
0.045061;117.158890;-7.985491;-5.244141;-3.603516
0.397503;1033.508778;-2.813449;6.986178;-1.375411
0.043452;112.974644;-5.312500;1.250001;-3.619791
0.027359;71.132183;-3.212316;-7.500000;-3.550092
0.946283;2460.336685;-9.824219;1.043526;-1.163903
0.177026;460.267067;-9.252485;2.029474;-1.709872
0.270367;702.953339;-2.609515;-7.630441;-0.993303
0.001609;4.184246;-7.734375;-5.273438;-3.164062
0.180244;468.635559;-2.899344;6.555176;-0.899833
0.061154;159.001350;-2.914268;-0.209704;-0.777138
0.006437;16.736984;-2.929688;3.750000;-0.996094
0.003219;8.368492;-9.140625;-9.140625;-0.996094
0.001609;4.184246;-2.929688;11.250000;-0.820312
0.009656;25.105476;-2.929688;-7.382812;-0.410156
0.006437;16.736984;-2.929688;3.867188;-0.292969
0.001609;4.184246;-9.140625;-9.257812;-0.234375
2.338350;6079.709530;-2.331169;-11.356864;1.411412
0.543952;1414.275169;-9.282082;-10.175203;1.255431
0.017703;46.026707;-9.140625;-9.502841;0.202416
2.336740;6075.525284;-9.445296;-8.169309;2.627519
2.378583;6184.315681;-8.895149;-1.650933;4.779950
0.545561;1418.459415;-2.887514;4.386753;4.553720
10.497630;27293.837070;-2.018525;4.870423;3.487077
7.332087;19063.425064;-2.370192;5.504005;2.859339
1.625419;4226.088524;-2.440981;6.187847;1.548035
0.534296;1389.169693;-2.747200;9.657027;1.051864
0.243008;631.821156;-2.880795;10.293098;0.713214
0.469923;1221.799850;-9.110927;10.744328;4.290186
0.004828;12.552738;-2.929688;10.898438;0.117188
0.017703;46.026707;-9.140625;-9.438921;0.756392
0.003219;8.368492;-9.140625;1.875000;0.644531
0.022531;58.579445;-9.140625;-9.375000;1.582031
0.004828;12.552738;-9.140625;10.898438;1.289062
0.006437;16.736984;-9.140625;1.992188;1.933594
0.600278;1560.723782;-8.506305;-9.117376;4.615240
0.249445;648.558140;-8.362651;-8.665071;3.930695
0.001609;4.184246;-8.085938;-8.554688;3.046875
0.486016;1263.642311;-7.714197;-8.284225;5.481815
0.502110;1305.484772;-8.072791;-8.396560;5.589693
5.985081;15561.211109;-7.467607;-7.304414;6.383772
0.001609;4.184246;-8.203125;-7.734375;3.046875
0.004828;12.552738;-8.085938;-7.500000;3.164062
0.022531;58.579445;-7.893415;-7.081473;3.331473
0.051498;133.895874;-7.679443;-6.697998;3.837891
3.952503;10276.508331;-4.544738;-5.871686;5.827596
0.086904;225.949287;-8.370226;-5.253907;4.175346
0.008047;20.921230;-8.109375;2.789063;3.187500
0.009656;25.105476;-3.417969;3.964843;3.242188
0.199556;518.846512;-3.107359;4.472971;3.834110
0.228524;594.162941;-5.382373;6.684639;3.998405
0.003219;8.368492;-3.281250;10.195312;3.105469
0.028968;75.316429;-3.125000;10.266928;3.346354
0.379801;987.482071;-3.405389;10.727622;4.038996
0.239789;623.452663;-8.765468;10.739567;5.112993
